service_id,intent_code,zone_code,gender
1,cleansing,face,unisex
2,cleansing,face,unisex
3,cleansing,face,unisex
4,cleansing,face,unisex
5,cleansing,face,unisex
6,hydrafacial,face,unisex
7,lifting,face,unisex
8,lifting,neck_decollete,unisex
9,renewal,face,unisex
10,professional_protocol,face,unisex
11,professional_protocol,face,unisex
12,consultation,face,unisex
13,body_contouring,body,unisex
14,body_contouring,body,unisex
15,body_contouring,body,unisex
16,body_contouring,body,unisex
17,body_contouring,body,unisex
18,body_contouring,body,unisex
19,body_contouring,body,unisex
20,body_contouring,body,unisex
21,body_contouring,body,unisex
22,lifting,face,unisex
23,lifting,face,unisex
24,lifting,face,unisex
25,massage,body,unisex
26,massage,body,unisex
27,massage,body,unisex
28,massage,body,unisex
29,massage,body,unisex
30,lifting,face,unisex
31,lifting,face,unisex
32,lifting,face,unisex
33,lifting,face,unisex
34,massage,body,unisex
35,hair_removal,cheekbones,female
36,hair_removal,full_face,female
37,hair_removal,chin,female
38,hair_removal,upper_lip,female
39,hair_removal,cheeks,female
40,hair_removal,low_forehead,female
41,hair_removal,neck_back,female
42,hair_removal,neck_front,female
43,hair_removal,sideburns,female
44,hair_removal,full_face,male
45,hair_removal,cheekbones,male
46,hair_removal,chin,male
47,hair_removal,upper_lip,male
48,hair_removal,cheeks,male
49,hair_removal,low_forehead,male
50,hair_removal,neck_back,male
51,hair_removal,neck_front,male
52,hair_removal,sideburns,male
53,hair_removal,chest_full,male
54,hair_removal,shoulders,male
55,hair_removal,back_full,male
56,hair_removal,back_upper,male
57,hair_removal,back_lower,male
58,hair_removal,feet,male
59,hair_removal,hands,male
60,hair_removal,buttocks,male
61,hair_removal,full_legs,male
62,hair_removal,thighs,male
63,hair_removal,arms,male
64,hair_removal,forearms,male
65,hair_removal,underarms,male
66,hair_removal,half_leg,male
67,hair_removal,sternum,female
68,hair_removal,shoulders,female
69,hair_removal,breast,female
70,hair_removal,back_full,female
71,hair_removal,back_upper,female
72,hair_removal,back_lower,female
73,hair_removal,feet,female
74,hair_removal,hands,female
75,hair_removal,linea_alba,female
76,hair_removal,bikini_total,female
77,hair_removal,bikini_basic,female
78,hair_removal,buttocks,female
79,hair_removal,full_legs,female
80,hair_removal,decollete,female
81,hair_removal,thighs,female
82,hair_removal,arms,female
83,hair_removal,forearms,female
84,hair_removal,underarms,female
85,hair_removal,abdomen,female
86,hair_removal,half_leg,female
87,hair_removal,cheekbones,female
88,hair_removal,full_face,female
89,hair_removal,chin,female
90,hair_removal,upper_lip,female
91,hair_removal,cheeks,female
92,hair_removal,low_forehead,female
93,hair_removal,neck_back,female
94,hair_removal,neck_front,female
95,hair_removal,sideburns,female
96,hair_removal,sternum,female
97,hair_removal,shoulders,female
98,hair_removal,breast,female
99,hair_removal,back_full,female
100,hair_removal,back_upper,female
101,hair_removal,back_lower,female
102,hair_removal,feet,female
103,hair_removal,hands,female
104,hair_removal,linea_alba,female
105,hair_removal,bikini_total,female
106,hair_removal,bikini_basic,female
107,hair_removal,buttocks,female
108,hair_removal,full_legs,female
109,hair_removal,decollete,female
110,hair_removal,thighs,female
111,hair_removal,arms,female
112,hair_removal,forearms,female
113,hair_removal,underarms,female
114,hair_removal,abdomen,female
115,hair_removal,half_leg,female
116,hair_removal,full_face,male
117,hair_removal,cheekbones,male
118,hair_removal,chin,male
119,hair_removal,upper_lip,male
120,hair_removal,cheeks,male
121,hair_removal,low_forehead,male
122,hair_removal,neck_back,male
123,hair_removal,neck_front,male
124,hair_removal,sideburns,male
125,hair_removal,chest_full,male
126,hair_removal,shoulders,male
127,hair_removal,back_full,male
128,hair_removal,back_upper,male
129,hair_removal,back_lower,male
130,hair_removal,feet,male
131,hair_removal,hands,male
132,hair_removal,buttocks,male
133,hair_removal,full_legs,male
134,hair_removal,thighs,male
135,hair_removal,arms,male
136,hair_removal,forearms,male
137,hair_removal,underarms,male
138,hair_removal,half_leg,male
